Submit_ID,Brand_Reg,Model_No,SoldIn,screensize,Screen_Tech,Avg_mode_power,Energy,Availability Status,Star2,Screen_Size2
151169,BAUHN,ATV50UHDT-0323,"Australia,Fiji,New Zealand",125.727,LCD,56.7,225,Available,6,126
151145,SHARP,4T-C60DL1X,"Australia,Fiji,New Zealand",152.663,LCD (LED),137,504,Available,4,153
151088,FFALCON,FF55RU62,"Australia,Fiji,New Zealand",138.711,LCD (LED),41.8,190,Available,7,139
151012,BLAUPUNKT,BP500USG9700,"Australia,New Zealand",138.783,LCD (LED),86.04,332,Available,5,139
151009,LOEWE,BILD i48,"Australia,New Zealand",120.713,OLED,74.4,274,Available,4.5,121
151008,LOEWE,BILD i55,"Australia,New Zealand",138.798,OLED,96.5,354,Available,4.5,139
151007,LOEWE,BILD i65,"Australia,New Zealand",163.857,OLED,114,418,Available,5,164
150989,KONKA,KUD50WT702AN,New Zealand,125.731,LCD,71.99,267,Available,5,126
150987,KONKA,KUD55WT702AN,New Zealand,138.783,LCD (LED),86.54,320,Available,5,139
150977,BLAUPUNKT,BP58WOS,"Australia,New Zealand",146.068,LCD (LED),105.156,405,Available,4.5,146
150972,LINSAR,LS75UHDNF,"Australia,Fiji,New Zealand",189.306,LCD (LED),127.7,469,Available,6,189
150970,KODAK,KD55WOS2,"Australia,Fiji,New Zealand",138.783,LCD,69.64,256,Available,6,139
150952,BLAUPUNKT,BP430FSG9700C,"Australia,Fiji,New Zealand",107.863,LCD,54.04,199,Available,5,108
150951,EKO,K43FSG11,"Australia,Fiji,New Zealand",107.863,LCD,54.04,199,Available,5,108
150949,BLAUPUNKT,BP430FSG9700,"Australia,Fiji,New Zealand",107.863,LCD,54.04,199,Available,5,108
150947,SHARP,4T-C70DL1X,"Australia,Fiji,New Zealand",176.563,LCD (LED),123.94,457,Available,5.5,177
150946,SHARP,4T-C50DK1X,"Australia,Fiji,New Zealand",125.727,LCD (LED),84.4,312,Available,4.5,126
150945,SHARP,2T-C42EG1X,"Australia,Fiji,New Zealand",105.415,LCD (LED),53,197,Available,5,105
150943,SHARP,2T-C32EG1X,"Australia,Fiji,New Zealand",80.043,LCD (LED),29.15,110,Available,5.5,80
150911,POLAROID,PL6521UHDG,"Australia,Fiji,New Zealand",163.132,LCD,94.65,348,Available,6,163
150908,AKAI,AK3221S6WOS,"Australia,Fiji,New Zealand",80.043,LCD,23.8,89,Available,6,80
150826,SONY,XR-77A80L,"Australia,New Zealand",194.726,OLED,169.7,629,Available,5,195
150816,KOGAN,KALED43RF9820STE,"Australia,Fiji,New Zealand",107.863,LCD (LED),55,203,Available,5,108
150699,AKAI,AK5022S7TZN,"Australia,Fiji,New Zealand",125.727,LCD,56.7,225,Available,6,126
150691,TEAC,LEV24A422,Australia,80.039,LCD (LED),33.3,124,Available,5,80
150674,KOGAN,KALED42RF7510SP*,Australia,105.415,LCD (LED),44.2,180,Available,5.5,105
